disease,symptoms,treatment,symptoms_normalized,normalized_symptoms_list
Flu,"high temperature, hacking cough, throat pain, runny nose, body aches, profound fatigue, headache","rest, hydration, over-the-counter pain relievers, antiviral drugs","fever, cough cough, sore throat, runny nose, muscle aches, profound fatigue, headache","['fever', 'cough cough', 'sore throat', 'runny nose', 'muscle aches', 'profound fatigue', 'headache']"
Common Cold,"sneezing, nasal discharge, scratchy throat, congestion, mild cough, feeling unwell","rest, hydration, decongestants, vitamin c, throat lozenges","sneezing, runny nose, sore throat, congestion, mild cough, feeling unwell","['sneezing', 'runny nose', 'sore throat', 'congestion', 'mild cough', 'feeling unwell']"
COVID-19,"fever or chills, dry cough, tiredness, loss of taste or smell, shortness of breath, muscle aches, sore throat, headache","isolation, rest, fluids, medical attention if severe, antiviral medication like paxlovid","fever or chills, dry cough, fatigue, loss of taste or smell, shortness of breath, muscle aches, sore throat, headache","['fever or chills', 'dry cough', 'fatigue', 'loss of taste or smell', 'shortness of breath', 'muscle aches', 'sore throat', 'headache']"
Migraine,"severe throbbing headache, nausea, vomiting, extreme sensitivity to light, extreme sensitivity to sound, seeing auras or flashing lights","pain relievers, triptans, dark quiet room, sleep, hydration","severe throbbing headache, nausea, vomiting, extreme sensitivity to light, extreme sensitivity to sound, seeing auras or flashing lights","['severe throbbing headache', 'nausea', 'vomiting', 'extreme sensitivity to light', 'extreme sensitivity to sound', 'seeing auras or flashing lights']"
Allergy (Hay Fever),"sneezing fits, itchy and watery eyes, runny or stuffy nose, itchy skin, rash, wheezing, post-nasal drip","antihistamines, avoid allergens, nasal corticosteroid sprays, allergy shots","sneezing fits, itchy and itchy eyes, runny or stuffy nose, itchy skin, rash, wheezing, post-nasal drip","['sneezing fits', 'itchy and itchy eyes', 'runny or stuffy nose', 'itchy skin', 'rash', 'wheezing', 'post-nasal drip']"
Asthma,"difficulty breathing, wheezing sound when exhaling, chest tightness or pain, coughing fits, especially at night or early morning","rescue inhaler (albuterol), long-term controller inhalers (corticosteroids), avoiding triggers","shortness of breath, wheezing sound when exhaling, chest tightness or pain, cough fits, especially at night or early morning","['shortness of breath', 'wheezing sound when exhaling', 'chest tightness or pain', 'cough fits', 'especially at night or early morning']"
Diabetes Mellitus Type 1,"extreme thirst (polydipsia), frequent urination (polyuria), unexplained weight loss, fatigue, blurred vision, slow-healing sores","lifelong insulin therapy, regular blood sugar monitoring, carbohydrate counting, diet management","extreme thirst (polydipsia), frequent urination (polyuria), unexplained weight loss, fatigue, blurred vision, slow-healing sores","['extreme thirst (polydipsia)', 'frequent urination (polyuria)', 'unexplained weight loss', 'fatigue', 'blurred vision', 'slow-healing sores']"
Diabetes Mellitus Type 2,"increased thirst, frequent urination, fatigue, blurred vision, slow-healing sores, numbness or tingling in hands or feet, frequent infections","diet management, exercise, oral medications (metformin), insulin therapy, weight management","increased thirst, frequent urination, fatigue, blurred vision, slow-healing sores, numbness or tingling in hands or feet, frequent infections","['increased thirst', 'frequent urination', 'fatigue', 'blurred vision', 'slow-healing sores', 'numbness or tingling in hands or feet', 'frequent infections']"
Hypertension (High Blood Pressure),"often asymptomatic (silent killer), persistent headache, dizziness, nosebleeds, blurred vision, shortness of breath in severe cases","lifestyle changes (low-sodium diet, exercise, stress reduction), antihypertensive medication","often asymptomatic (silent killer), persistent headache, dizziness, nosebleeds, blurred vision, shortness of breath in severe cases","['often asymptomatic (silent killer)', 'persistent headache', 'dizziness', 'nosebleeds', 'blurred vision', 'shortness of breath in severe cases']"
Heart Attack (Myocardial Infarction),"crushing chest pain or pressure, pain radiating to the left arm/jaw/back, shortness of breath, cold sweat, nausea, lightheadedness","emergency medical attention (call 911), aspirin, nitroglycerin, oxygen therapy, angioplasty or bypass surgery","crushing chest pain or pressure, pain radiating to the left arm/jaw/back, shortness of breath, cold sweat, nausea, lightheadedness","['crushing chest pain or pressure', 'pain radiating to the left arm/jaw/back', 'shortness of breath', 'cold sweat', 'nausea', 'lightheadedness']"
Stroke,"sudden numbness or weakness in the face, arm, or leg (especially on one side), sudden confusion, trouble speaking or understanding, sudden dizziness, loss of balance, sudden severe headache","emergency medical attention (call 911 immediately), clot-busting drugs (tpa), endovascular procedures, rehabilitation","sudden numbness or weakness in the face, arm, or leg (especially on one side), sudden confusion, trouble speaking or understanding, sudden dizziness, loss of balance, sudden severe headache","['sudden numbness or weakness in the face', 'arm', 'or leg (especially on one side)', 'sudden confusion', 'trouble speaking or understanding', 'sudden dizziness', 'loss of balance', 'sudden severe headache']"
Malaria,"cycles of high fever, shaking chills, and profuse sweating, headache, muscle aches, fatigue, nausea, vomiting","antimalarial drugs (artemisinin-based combination therapies), rest, hydration, paracetamol for fever","cycles of high fever, shaking chills, and profuse sweating, headache, muscle aches, fatigue, nausea, vomiting","['cycles of high fever', 'shaking chills', 'and profuse sweating', 'headache', 'muscle aches', 'fatigue', 'nausea', 'vomiting']"
Typhoid Fever,"prolonged high fever, severe weakness, stomach pain, headache, loss of appetite, rose-colored spots (rash)","antibiotics (ciprofloxacin, azithromycin), rehydration therapy, rest, soft diet","prolonged high fever, severe weakness, stomach pain, headache, loss of appetite, rose-colored spots (rash)","['prolonged high fever', 'severe weakness', 'stomach pain', 'headache', 'loss of appetite', 'rose-colored spots (rash)']"
Tuberculosis (TB),"persistent cough lasting more than 3 weeks (sometimes with blood), unintended weight loss, night sweats, fever, fatigue, chest pain","long course of multiple antibiotics (6-9 months), rest, good nutrition, isolation initially","cough lasting more than 3 weeks (sometimes with blood), unintended weight loss, night sweats, fever, fatigue, chest pain","['cough lasting more than 3 weeks (sometimes with blood)', 'unintended weight loss', 'night sweats', 'fever', 'fatigue', 'chest pain']"
Hepatitis A,"fatigue, nausea, jaundice (yellowing skin/eyes), dark urine, clay-colored stool, abdominal pain, loss of appetite, low-grade fever","rest, hydration, avoiding alcohol, supportive care (usually resolves on its own), vaccination for prevention","fatigue, nausea, jaundice (yellowing skin/eyes), dark urine, clay-colored stool, abdominal pain, loss of appetite, low-grade fever","['fatigue', 'nausea', 'jaundice (yellowing skin/eyes)', 'dark urine', 'clay-colored stool', 'abdominal pain', 'loss of appetite', 'low-grade fever']"
Hepatitis B,"fatigue, jaundice, dark urine, abdominal pain, nausea, joint pain, loss of appetite","antiviral medications for chronic cases, rest, avoiding alcohol, vaccination for prevention","fatigue, jaundice, dark urine, abdominal pain, nausea, joint pain, loss of appetite","['fatigue', 'jaundice', 'dark urine', 'abdominal pain', 'nausea', 'joint pain', 'loss of appetite']"
Hepatitis C,"often asymptomatic for years, fatigue, jaundice, dark urine, abdominal pain, nausea, poor appetite, spider-like blood vessels on skin","antiviral medications (daas) can cure most cases, liver monitoring, avoiding alcohol","often asymptomatic for years, fatigue, jaundice, dark urine, abdominal pain, nausea, poor appetite, spider-like blood vessels on skin","['often asymptomatic for years', 'fatigue', 'jaundice', 'dark urine', 'abdominal pain', 'nausea', 'poor appetite', 'spider-like blood vessels on skin']"
Dengue Fever,"sudden high fever, severe headache, pain behind the eyes, severe muscle and joint pain, rash, mild bleeding from nose or gums","rest, hydration, paracetamol for pain (avoid aspirin/ibuprofen), medical monitoring for warning signs","sudden high fever, severe headache, pain behind the eyes, severe muscle and joint pain, rash, mild bleeding from nose or gums","['sudden high fever', 'severe headache', 'pain behind the eyes', 'severe muscle and joint pain', 'rash', 'mild bleeding from nose or gums']"
Chikungunya,"abrupt onset of fever, severe and often debilitating joint pain, muscle pain, headache, nausea, rash, fatigue","pain relievers, anti-inflammatory drugs (nsaids), rest, hydration, physical therapy for joint pain","abrupt onset of fever, severe and often debilitating joint pain, muscle pain, headache, nausea, rash, fatigue","['abrupt onset of fever', 'severe and often debilitating joint pain', 'muscle pain', 'headache', 'nausea', 'rash', 'fatigue']"
Pneumonia,"sharp chest pain that worsens with deep breathing or coughing, productive cough with green/yellow phlegm, high fever, chills, shortness of breath","antibiotics (if bacterial), rest, plenty of fluids, oxygen therapy if severe","sharp chest pain that worsens with deep breathing or cough, productive cough with green/yellow phlegm, high fever, chills, shortness of breath","['sharp chest pain that worsens with deep breathing or cough', 'productive cough with green/yellow phlegm', 'high fever', 'chills', 'shortness of breath']"
Urinary Tract Infection (UTI),"burning sensation during urination, frequent and intense urge to urinate, passing small amounts of urine, cloudy or strong-smelling urine, pelvic pain","antibiotics, increased fluid intake, cranberry juice or supplements for prevention","burning sensation during urination, frequent and intense urge to urinate, passing small amounts of urine, cloudy or strong-smelling urine, pelvic pain","['burning sensation during urination', 'frequent and intense urge to urinate', 'passing small amounts of urine', 'cloudy or strong-smelling urine', 'pelvic pain']"
Gastroenteritis (Stomach Flu),"watery diarrhea, vomiting, nausea, stomach cramps and pain, low-grade fever, headache, muscle aches","rest, aggressive hydration (oral rehydration solutions), bland diet (brat: bananas, rice, applesauce, toast)","watery diarrhea, vomiting, nausea, stomach cramps and pain, low-grade fever, headache, muscle aches","['watery diarrhea', 'vomiting', 'nausea', 'stomach cramps and pain', 'low-grade fever', 'headache', 'muscle aches']"
Appendicitis,"sudden sharp pain that begins around the navel and shifts to the lower right abdomen, pain that worsens with coughing or walking, nausea, vomiting, loss of appetite, low-grade fever","emergency surgical removal of the appendix (appendectomy), antibiotics","sudden sharp pain that begins around the navel and shifts to the lower right abdomen, pain that worsens with cough or walking, nausea, vomiting, loss of appetite, low-grade fever","['sudden sharp pain that begins around the navel and shifts to the lower right abdomen', 'pain that worsens with cough or walking', 'nausea', 'vomiting', 'loss of appetite', 'low-grade fever']"
Gallstones (Cholelithiasis),"sudden and severe pain in the upper right abdomen, pain between shoulder blades, nausea, vomiting, indigestion, fever","pain management, cholecystectomy (gallbladder removal surgery), medication to dissolve stones","sudden and severe pain in the upper right abdomen, pain between shoulder blades, nausea, vomiting, indigestion, fever","['sudden and severe pain in the upper right abdomen', 'pain between shoulder blades', 'nausea', 'vomiting', 'indigestion', 'fever']"
Kidney Stones (Nephrolithiasis),"severe, sharp pain in the side and back below the ribs, pain that radiates to the lower abdomen and groin, painful urination, pink/red/brown urine, nausea and vomiting","pain medication, hydration to pass stones, medical procedures like lithotripsy or ureteroscopy to break up or remove stones","severe, sharp pain in the side and back below the ribs, pain that radiates to the lower abdomen and groin, painful urination, pink/red/brown urine, nausea and vomiting","['severe', 'sharp pain in the side and back below the ribs', 'pain that radiates to the lower abdomen and groin', 'painful urination', 'pink/red/brown urine', 'nausea and vomiting']"
Anemia (Iron Deficiency),"extreme fatigue, weakness, pale skin, shortness of breath, dizziness, headache, cold hands and feet, brittle nails","iron supplements, consuming iron-rich foods (red meat, spinach), addressing the underlying cause of blood loss","extreme fatigue, weakness, pale skin, shortness of breath, dizziness, headache, cold hands and feet, brittle nails","['extreme fatigue', 'weakness', 'pale skin', 'shortness of breath', 'dizziness', 'headache', 'cold hands and feet', 'brittle nails']"
Hypothyroidism,"unexplained fatigue, weight gain, increased sensitivity to cold, constipation, dry skin, thinning hair, depression, muscle weakness",thyroid hormone replacement therapy (levothyroxine),"unexplained fatigue, weight gain, increased sensitivity to cold, constipation, dry skin, thinning hair, depression, muscle weakness","['unexplained fatigue', 'weight gain', 'increased sensitivity to cold', 'constipation', 'dry skin', 'thinning hair', 'depression', 'muscle weakness']"
Hyperthyroidism,"unintentional weight loss, rapid or irregular heartbeat (palpitations), anxiety and irritability, tremors in hands, heat intolerance, increased sweating, frequent bowel movements","anti-thyroid medications, radioactive iodine therapy, beta-blockers, surgery","unintentional weight loss, rapid or irregular heartbeat (palpitations), anxiety and irritability, tremors in hands, heat intolerance, increased sweating, diarrhea","['unintentional weight loss', 'rapid or irregular heartbeat (palpitations)', 'anxiety and irritability', 'tremors in hands', 'heat intolerance', 'increased sweating', 'diarrhea']"
Acne Vulgaris,"pimples, blackheads, whiteheads on face/neck/chest/back, oily skin, cysts or nodules in severe cases","topical treatments (retinoids, benzoyl peroxide, salicylic acid), oral medications (antibiotics, isotretinoin), good skincare hygiene","pimples, blackheads, whiteheads on face/neck/chest/back, oily skin, cysts or nodules in severe cases","['pimples', 'blackheads', 'whiteheads on face/neck/chest/back', 'oily skin', 'cysts or nodules in severe cases']"
Eczema (Atopic Dermatitis),"dry, itchy, red, and inflamed skin, small raised bumps that may leak fluid, thickened or cracked skin","moisturizers and emollients, topical corticosteroids, antihistamines for itching, avoiding triggers","dry, itchy, red, and inflamed skin, small raised bumps that may leak fluid, thickened or cracked skin","['dry', 'itchy', 'red', 'and inflamed skin', 'small raised bumps that may leak fluid', 'thickened or cracked skin']"
Psoriasis,"red, raised patches of skin with silvery scales, itching or burning sensation, dry and cracked skin that may bleed, pitted or thickened nails","topical treatments (corticosteroids, vitamin d analogs), phototherapy (light therapy), systemic medications, biologics","red, raised patches of skin with silvery scales, itching or burning sensation, dry and cracked skin that may bleed, pitted or thickened nails","['red', 'raised patches of skin with silvery scales', 'itching or burning sensation', 'dry and cracked skin that may bleed', 'pitted or thickened nails']"
Osteoarthritis,"aching joint pain that worsens with activity, stiffness (especially in the morning or after rest), reduced range of motion, grating sensation (crepitus)","pain relievers (acetaminophen, nsaids), physical therapy, weight management, joint injections, joint replacement surgery","aching joint pain that worsens with activity, stiffness (especially in the morning or after rest), reduced range of motion, grating sensation (crepitus)","['aching joint pain that worsens with activity', 'stiffness (especially in the morning or after rest)', 'reduced range of motion', 'grating sensation (crepitus)']"
Rheumatoid Arthritis,"tender, warm, swollen joints (often symmetrical), joint stiffness worse in the morning, fatigue, fever, loss of appetite","disease-modifying antirheumatic drugs (dmards), biologic agents, nsaids, corticosteroids, physical therapy","tender, warm, swollen joints (often symmetrical), joint stiffness worse in the morning, fatigue, fever, loss of appetite","['tender', 'warm', 'swollen joints (often symmetrical)', 'joint stiffness worse in the morning', 'fatigue', 'fever', 'loss of appetite']"
Fibromyalgia,"widespread musculoskeletal pain described as a dull ache, fatigue, sleep disturbances, cognitive difficulties ('fibro fog'), heightened sensitivity to pain","pain relievers, antidepressants, physical therapy, stress-reduction techniques (meditation, yoga)","widespread musculoskeletal pain described as a dull ache, fatigue, sleep disturbances, cognitive difficulties ('fibro fog'), heightened sensitivity to pain","['widespread musculoskeletal pain described as a dull ache', 'fatigue', 'sleep disturbances', ""cognitive difficulties ('fibro fog')"", 'heightened sensitivity to pain']"
Irritable Bowel Syndrome (IBS),"chronic abdominal pain or cramping, bloating and gas, diarrhea or constipation (or alternating between both), mucus in the stool","dietary changes (low fodmap diet), fiber supplements, stress management, antispasmodic medications","chronic abdominal pain or cramping, bloating and gas, diarrhea or constipation (or alternating between both), mucus in the stool","['chronic abdominal pain or cramping', 'bloating and gas', 'diarrhea or constipation (or alternating between both)', 'mucus in the stool']"
Acid Reflux (GERD),"frequent heartburn, regurgitation of food or sour liquid, chest pain, difficulty swallowing, feeling of a lump in your throat, chronic cough","antacids, h2 blockers (famotidine), proton pump inhibitors (omeprazole), lifestyle changes (avoiding trigger foods, not lying down after eating)","frequent heartburn, regurgitation of food or sour liquid, chest pain, difficulty swallowing, feeling of a lump in your throat, chronic cough","['frequent heartburn', 'regurgitation of food or sour liquid', 'chest pain', 'difficulty swallowing', 'feeling of a lump in your throat', 'chronic cough']"
Peptic Ulcer Disease,"burning stomach pain, feeling of fullness, bloating or belching, fatty food intolerance, heartburn, nausea","medications to reduce stomach acid (ppis), antibiotics to kill h. pylori bacteria, avoiding nsaids, alcohol, and spicy foods","burning stomach pain, feeling of fullness, bloating or belching, fatty food intolerance, heartburn, nausea","['burning stomach pain', 'feeling of fullness', 'bloating or belching', 'fatty food intolerance', 'heartburn', 'nausea']"
Glaucoma,"gradual loss of peripheral (side) vision, tunnel vision in advanced stages, halos around lights, eye pain and redness (in acute angle-closure glaucoma)","prescription eye drops to lower eye pressure, laser therapy, microsurgery","gradual loss of peripheral (side) vision, tunnel vision in advanced stages, halos around lights, eye pain and redness (in acute angle-closure glaucoma)","['gradual loss of peripheral (side) vision', 'tunnel vision in advanced stages', 'halos around lights', 'eye pain and redness (in acute angle-closure glaucoma)']"
Cataracts,"cloudy or blurred vision, difficulty with vision at night, sensitivity to light and glare, seeing 'halos' around lights, fading or yellowing of colors","surgery to remove the cloudy lens and replace it with a clear, artificial intraocular lens (iol)","cloudy or blurred vision, difficulty with vision at night, sensitivity to light and glare, seeing 'halos' around lights, fading or yellowing of colors","['cloudy or blurred vision', 'difficulty with vision at night', 'sensitivity to light and glare', ""seeing 'halos' around lights"", 'fading or yellowing of colors']"
Sinusitis (Sinus Infection),"pain, tenderness, and pressure around eyes, cheeks, nose, or forehead, nasal congestion, thick, discolored nasal discharge, reduced sense of smell and taste, headache","nasal saline rinses, decongestants, pain relievers, warm compresses, antibiotics (if bacterial and persistent)","pain, tenderness, and pressure around eyes, cheeks, nose, or forehead, nasal congestion, thick, discolored runny nose, reduced sense of smell and taste, headache","['pain', 'tenderness', 'and pressure around eyes', 'cheeks', 'nose', 'or forehead', 'nasal congestion', 'thick', 'discolored runny nose', 'reduced sense of smell and taste', 'headache']"
Bronchitis (Acute),"persistent cough that produces mucus, chest soreness, fatigue, mild headache, body aches, sore throat","rest, plenty of fluids, humidifier, cough medicine, pain relievers (antibiotics are rarely needed)","cough that produces mucus, chest soreness, fatigue, mild headache, muscle aches, sore throat","['cough that produces mucus', 'chest soreness', 'fatigue', 'mild headache', 'muscle aches', 'sore throat']"
Cellulitis,"red, swollen, warm, and painful area of skin, skin may appear pitted like an orange peel, fever, chills, blisters may form","oral or intravenous antibiotics, keeping the affected area elevated and clean","red, swollen, warm, and painful area of skin, skin may appear pitted like an orange peel, fever, chills, blisters may form","['red', 'swollen', 'warm', 'and painful area of skin', 'skin may appear pitted like an orange peel', 'fever', 'chills', 'blisters may form']"
Shingles (Herpes Zoster),"pain, burning, numbness or tingling, a red rash that begins a few days after the pain, fluid-filled blisters that break open and crust over, itching","antiviral drugs (acyclovir, valacyclovir), pain relievers, topical treatments for itching","pain, burning, numbness or tingling, a red rash that begins a few days after the pain, fluid-filled blisters that break open and crust over, itching","['pain', 'burning', 'numbness or tingling', 'a red rash that begins a few days after the pain', 'fluid-filled blisters that break open and crust over', 'itching']"
Lyme Disease,"bull's-eye rash (erythema migrans), fever, chills, fatigue, body aches, headache, neck stiffness","antibiotics (doxycycline, amoxicillin), supportive care for symptoms","bull's-eye rash (erythema migrans), fever, chills, fatigue, muscle aches, headache, neck stiffness","[""bull's-eye rash (erythema migrans)"", 'fever', 'chills', 'fatigue', 'muscle aches', 'headache', 'neck stiffness']"
Gout,"sudden, severe attacks of pain, swelling, redness, and tenderness in one or more joints, most often in the big toe","nonsteroidal anti-inflammatory drugs (nsaids), colchicine, corticosteroids, lifestyle changes to lower uric acid","sudden, severe attacks of pain, swelling, redness, and tenderness in one or more joints, most often in the big toe","['sudden', 'severe attacks of pain', 'swelling', 'redness', 'and tenderness in one or more joints', 'most often in the big toe']"
Endometriosis,"painful periods (dysmenorrhea), pain with intercourse, pain with bowel movements or urination, excessive bleeding, infertility","pain medication, hormone therapy (birth control pills), surgery to remove endometrial tissue","painful periods (dysmenorrhea), pain with intercourse, pain with bowel movements or urination, excessive bleeding, infertility","['painful periods (dysmenorrhea)', 'pain with intercourse', 'pain with bowel movements or urination', 'excessive bleeding', 'infertility']"
